instant_hourly,date,season,year,mnth_hourly,hour,holiday_hourly,weekday_hourly,workingday_hourly,weather_condition,temp_hourly,atemp_hourly,hum_hourly,windspeed_hourly,casual_hourly,registered_hourly,total_count,instant_daily,temp_daily,atemp_daily,hum_daily,windspeed_daily,casual_daily,registered_daily,cnt_daily,time_category
13,2011-01-01,Spring,2011,1,12,0,6,Holiday/Weekend,Clear/Partly Cloudy,0.42,0.4242,0.77,0.2836,29,55,84,1,0.344167,0.363625,0.805833,0.160446,331,654,985,Afternoon
14,2011-01-01,Spring,2011,1,13,0,6,Holiday/Weekend,Misty/Cloudy,0.46,0.4545,0.72,0.2985,47,47,94,1,0.344167,0.363625,0.805833,0.160446,331,654,985,Afternoon
15,2011-01-01,Spring,2011,1,14,0,6,Holiday/Weekend,Misty/Cloudy,0.46,0.4545,0.72,0.2836,35,71,106,1,0.344167,0.363625,0.805833,0.160446,331,654,985,Afternoon
16,2011-01-01,Spring,2011,1,15,0,6,Holiday/Weekend,Misty/Cloudy,0.44,0.4394,0.77,0.2985,40,70,110,1,0.344167,0.363625,0.805833,0.160446,331,654,985,Afternoon
17,2011-01-01,Spring,2011,1,16,0,6,Holiday/Weekend,Misty/Cloudy,0.42,0.4242,0.82,0.2985,41,52,93,1,0.344167,0.363625,0.805833,0.160446,331,654,985,Afternoon
18,2011-01-01,Spring,2011,1,17,0,6,Holiday/Weekend,Misty/Cloudy,0.44,0.4394,0.82,0.2836,15,52,67,1,0.344167,0.363625,0.805833,0.160446,331,654,985,Evening
19,2011-01-01,Spring,2011,1,18,0,6,Holiday/Weekend,Light Snow/Rain,0.42,0.4242,0.88,0.2537,9,26,35,1,0.344167,0.363625,0.805833,0.160446,331,654,985,Evening
20,2011-01-01,Spring,2011,1,19,0,6,Holiday/Weekend,Light Snow/Rain,0.42,0.4242,0.88,0.2537,6,31,37,1,0.344167,0.363625,0.805833,0.160446,331,654,985,Evening
21,2011-01-01,Spring,2011,1,20,0,6,Holiday/Weekend,Misty/Cloudy,0.4,0.4091,0.87,0.2537,11,25,36,1,0.344167,0.363625,0.805833,0.160446,331,654,985,Evening
22,2011-01-01,Spring,2011,1,21,0,6,Holiday/Weekend,Misty/Cloudy,0.4,0.4091,0.87,0.194,3,31,34,1,0.344167,0.363625,0.805833,0.160446,331,654,985,Night
23,2011-01-01,Spring,2011,1,22,0,6,Holiday/Weekend,Misty/Cloudy,0.4,0.4091,0.94,0.2239,11,17,28,1,0.344167,0.363625,0.805833,0.160446,331,654,985,Night
24,2011-01-01,Spring,2011,1,23,0,6,Holiday/Weekend,Misty/Cloudy,0.46,0.4545,0.88,0.2985,15,24,39,1,0.344167,0.363625,0.805833,0.160446,331,654,985,Night
25,2011-01-02,Spring,2011,1,0,0,0,Holiday/Weekend,Misty/Cloudy,0.46,0.4545,0.88,0.2985,4,13,17,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Night
26,2011-01-02,Spring,2011,1,1,0,0,Holiday/Weekend,Misty/Cloudy,0.44,0.4394,0.94,0.2537,1,16,17,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Night
27,2011-01-02,Spring,2011,1,2,0,0,Holiday/Weekend,Misty/Cloudy,0.42,0.4242,1.0,0.2836,1,8,9,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Night
28,2011-01-02,Spring,2011,1,3,0,0,Holiday/Weekend,Misty/Cloudy,0.46,0.4545,0.94,0.194,2,4,6,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Night
29,2011-01-02,Spring,2011,1,4,0,0,Holiday/Weekend,Misty/Cloudy,0.46,0.4545,0.94,0.194,2,1,3,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Night
30,2011-01-02,Spring,2011,1,6,0,0,Holiday/Weekend,Light Snow/Rain,0.42,0.4242,0.77,0.2985,0,2,2,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Morning
31,2011-01-02,Spring,2011,1,7,0,0,Holiday/Weekend,Misty/Cloudy,0.4,0.4091,0.76,0.194,0,1,1,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Morning
32,2011-01-02,Spring,2011,1,8,0,0,Holiday/Weekend,Light Snow/Rain,0.4,0.4091,0.71,0.2239,0,8,8,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Morning
33,2011-01-02,Spring,2011,1,9,0,0,Holiday/Weekend,Misty/Cloudy,0.38,0.3939,0.76,0.2239,1,19,20,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Morning
34,2011-01-02,Spring,2011,1,10,0,0,Holiday/Weekend,Misty/Cloudy,0.36,0.3485,0.81,0.2239,7,46,53,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Morning
35,2011-01-02,Spring,2011,1,11,0,0,Holiday/Weekend,Misty/Cloudy,0.36,0.3333,0.71,0.2537,16,54,70,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Morning
36,2011-01-02,Spring,2011,1,12,0,0,Holiday/Weekend,Misty/Cloudy,0.36,0.3333,0.66,0.2985,20,73,93,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Afternoon
37,2011-01-02,Spring,2011,1,13,0,0,Holiday/Weekend,Misty/Cloudy,0.36,0.3485,0.66,0.1343,11,64,75,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Afternoon
38,2011-01-02,Spring,2011,1,14,0,0,Holiday/Weekend,Light Snow/Rain,0.36,0.3485,0.76,0.194,4,55,59,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Afternoon
39,2011-01-02,Spring,2011,1,15,0,0,Holiday/Weekend,Light Snow/Rain,0.34,0.3333,0.81,0.1642,19,55,74,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Afternoon
40,2011-01-02,Spring,2011,1,16,0,0,Holiday/Weekend,Light Snow/Rain,0.34,0.3333,0.71,0.1642,9,67,76,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Afternoon
41,2011-01-02,Spring,2011,1,17,0,0,Holiday/Weekend,Clear/Partly Cloudy,0.34,0.3333,0.57,0.194,7,58,65,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Evening
42,2011-01-02,Spring,2011,1,18,0,0,Holiday/Weekend,Misty/Cloudy,0.36,0.3333,0.46,0.3284,10,43,53,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Evening
43,2011-01-02,Spring,2011,1,19,0,0,Holiday/Weekend,Clear/Partly Cloudy,0.32,0.2879,0.42,0.4478,1,29,30,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Evening
44,2011-01-02,Spring,2011,1,20,0,0,Holiday/Weekend,Clear/Partly Cloudy,0.3,0.2727,0.39,0.3582,5,17,22,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Evening
45,2011-01-02,Spring,2011,1,21,0,0,Holiday/Weekend,Clear/Partly Cloudy,0.26,0.2273,0.44,0.3284,11,20,31,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Night
46,2011-01-02,Spring,2011,1,22,0,0,Holiday/Weekend,Clear/Partly Cloudy,0.24,0.2121,0.44,0.2985,0,9,9,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Night
47,2011-01-02,Spring,2011,1,23,0,0,Holiday/Weekend,Clear/Partly Cloudy,0.22,0.2273,0.47,0.1642,0,8,8,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Night
48,2011-01-03,Spring,2011,1,0,0,1,Working Day,Clear/Partly Cloudy,0.22,0.197,0.44,0.3582,0,5,5,3,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Night
49,2011-01-03,Spring,2011,1,1,0,1,Working Day,Clear/Partly Cloudy,0.2,0.1667,0.44,0.4179,0,2,2,3,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Night
50,2011-01-03,Spring,2011,1,4,0,1,Working Day,Clear/Partly Cloudy,0.16,0.1364,0.47,0.3881,0,1,1,3,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Night
51,2011-01-03,Spring,2011,1,5,0,1,Working Day,Clear/Partly Cloudy,0.16,0.1364,0.47,0.2836,0,3,3,3,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Morning
52,2011-01-03,Spring,2011,1,6,0,1,Working Day,Clear/Partly Cloudy,0.14,0.1061,0.5,0.3881,0,30,30,3,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Morning
53,2011-01-03,Spring,2011,1,7,0,1,Working Day,Clear/Partly Cloudy,0.14,0.1364,0.5,0.194,1,63,64,3,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Morning
54,2011-01-03,Spring,2011,1,8,0,1,Working Day,Clear/Partly Cloudy,0.14,0.1212,0.5,0.2836,1,153,154,3,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Morning
55,2011-01-03,Spring,2011,1,9,0,1,Working Day,Clear/Partly Cloudy,0.16,0.1364,0.43,0.3881,7,81,88,3,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Morning
56,2011-01-03,Spring,2011,1,10,0,1,Working Day,Clear/Partly Cloudy,0.18,0.1667,0.43,0.2537,11,33,44,3,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Morning
57,2011-01-03,Spring,2011,1,11,0,1,Working Day,Clear/Partly Cloudy,0.2,0.1818,0.4,0.3284,10,41,51,3,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Morning
58,2011-01-03,Spring,2011,1,12,0,1,Working Day,Clear/Partly Cloudy,0.22,0.2121,0.35,0.2985,13,48,61,3,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Afternoon
59,2011-01-03,Spring,2011,1,13,0,1,Working Day,Clear/Partly Cloudy,0.24,0.2121,0.35,0.2836,8,53,61,3,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Afternoon
60,2011-01-03,Spring,2011,1,14,0,1,Working Day,Clear/Partly Cloudy,0.26,0.2424,0.3,0.2836,11,66,77,3,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Afternoon
61,2011-01-03,Spring,2011,1,15,0,1,Working Day,Clear/Partly Cloudy,0.26,0.2424,0.3,0.2537,14,58,72,3,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Afternoon
62,2011-01-03,Spring,2011,1,16,0,1,Working Day,Clear/Partly Cloudy,0.26,0.2424,0.3,0.2537,9,67,76,3,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Afternoon
63,2011-01-03,Spring,2011,1,17,0,1,Working Day,Clear/Partly Cloudy,0.24,0.2273,0.3,0.2239,11,146,157,3,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Evening
64,2011-01-03,Spring,2011,1,18,0,1,Working Day,Clear/Partly Cloudy,0.24,0.2576,0.32,0.1045,9,148,157,3,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Evening
65,2011-01-03,Spring,2011,1,19,0,1,Working Day,Clear/Partly Cloudy,0.2,0.2576,0.47,0.0,8,102,110,3,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Evening
66,2011-01-03,Spring,2011,1,20,0,1,Working Day,Clear/Partly Cloudy,0.2,0.2273,0.47,0.1045,3,49,52,3,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Evening
67,2011-01-03,Spring,2011,1,21,0,1,Working Day,Clear/Partly Cloudy,0.18,0.197,0.64,0.1343,3,49,52,3,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Night
68,2011-01-03,Spring,2011,1,22,0,1,Working Day,Clear/Partly Cloudy,0.14,0.1515,0.69,0.1343,0,20,20,3,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Night
69,2011-01-03,Spring,2011,1,23,0,1,Working Day,Clear/Partly Cloudy,0.18,0.2121,0.55,0.1045,1,11,12,3,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Night
70,2011-01-04,Spring,2011,1,0,0,2,Working Day,Clear/Partly Cloudy,0.16,0.1818,0.55,0.1045,0,5,5,4,0.2,0.212122,0.590435,0.160296,108,1454,1562,Night
71,2011-01-04,Spring,2011,1,1,0,2,Working Day,Clear/Partly Cloudy,0.16,0.1818,0.59,0.1045,0,2,2,4,0.2,0.212122,0.590435,0.160296,108,1454,1562,Night
72,2011-01-04,Spring,2011,1,2,0,2,Working Day,Clear/Partly Cloudy,0.14,0.1515,0.63,0.1343,0,1,1,4,0.2,0.212122,0.590435,0.160296,108,1454,1562,Night
73,2011-01-04,Spring,2011,1,4,0,2,Working Day,Clear/Partly Cloudy,0.14,0.1818,0.63,0.0896,0,2,2,4,0.2,0.212122,0.590435,0.160296,108,1454,1562,Night
74,2011-01-04,Spring,2011,1,5,0,2,Working Day,Clear/Partly Cloudy,0.12,0.1515,0.68,0.1045,0,4,4,4,0.2,0.212122,0.590435,0.160296,108,1454,1562,Morning
75,2011-01-04,Spring,2011,1,6,0,2,Working Day,Clear/Partly Cloudy,0.12,0.1515,0.74,0.1045,0,36,36,4,0.2,0.212122,0.590435,0.160296,108,1454,1562,Morning
76,2011-01-04,Spring,2011,1,7,0,2,Working Day,Clear/Partly Cloudy,0.12,0.1515,0.74,0.1343,2,92,94,4,0.2,0.212122,0.590435,0.160296,108,1454,1562,Morning
77,2011-01-04,Spring,2011,1,8,0,2,Working Day,Clear/Partly Cloudy,0.14,0.1515,0.69,0.1642,2,177,179,4,0.2,0.212122,0.590435,0.160296,108,1454,1562,Morning
78,2011-01-04,Spring,2011,1,9,0,2,Working Day,Clear/Partly Cloudy,0.16,0.1515,0.64,0.2239,2,98,100,4,0.2,0.212122,0.590435,0.160296,108,1454,1562,Morning
79,2011-01-04,Spring,2011,1,10,0,2,Working Day,Misty/Cloudy,0.16,0.1364,0.69,0.3284,5,37,42,4,0.2,0.212122,0.590435,0.160296,108,1454,1562,Morning
80,2011-01-04,Spring,2011,1,11,0,2,Working Day,Clear/Partly Cloudy,0.22,0.2121,0.51,0.2985,7,50,57,4,0.2,0.212122,0.590435,0.160296,108,1454,1562,Morning
81,2011-01-04,Spring,2011,1,12,0,2,Working Day,Clear/Partly Cloudy,0.22,0.2273,0.51,0.1642,12,66,78,4,0.2,0.212122,0.590435,0.160296,108,1454,1562,Afternoon
82,2011-01-04,Spring,2011,1,13,0,2,Working Day,Clear/Partly Cloudy,0.24,0.2273,0.56,0.194,18,79,97,4,0.2,0.212122,0.590435,0.160296,108,1454,1562,Afternoon
83,2011-01-04,Spring,2011,1,14,0,2,Working Day,Clear/Partly Cloudy,0.26,0.2576,0.52,0.2239,9,54,63,4,0.2,0.212122,0.590435,0.160296,108,1454,1562,Afternoon
84,2011-01-04,Spring,2011,1,15,0,2,Working Day,Clear/Partly Cloudy,0.28,0.2727,0.52,0.2537,17,48,65,4,0.2,0.212122,0.590435,0.160296,108,1454,1562,Afternoon
85,2011-01-04,Spring,2011,1,16,0,2,Working Day,Clear/Partly Cloudy,0.3,0.2879,0.49,0.2537,15,68,83,4,0.2,0.212122,0.590435,0.160296,108,1454,1562,Afternoon
86,2011-01-04,Spring,2011,1,17,0,2,Working Day,Clear/Partly Cloudy,0.28,0.2727,0.48,0.2239,10,202,212,4,0.2,0.212122,0.590435,0.160296,108,1454,1562,Evening
87,2011-01-04,Spring,2011,1,18,0,2,Working Day,Clear/Partly Cloudy,0.26,0.2576,0.48,0.194,3,179,182,4,0.2,0.212122,0.590435,0.160296,108,1454,1562,Evening
88,2011-01-04,Spring,2011,1,19,0,2,Working Day,Clear/Partly Cloudy,0.24,0.2576,0.48,0.1045,2,110,112,4,0.2,0.212122,0.590435,0.160296,108,1454,1562,Evening
89,2011-01-04,Spring,2011,1,20,0,2,Working Day,Clear/Partly Cloudy,0.24,0.2576,0.48,0.1045,1,53,54,4,0.2,0.212122,0.590435,0.160296,108,1454,1562,Evening
90,2011-01-04,Spring,2011,1,21,0,2,Working Day,Clear/Partly Cloudy,0.22,0.2727,0.64,0.0,0,48,48,4,0.2,0.212122,0.590435,0.160296,108,1454,1562,Night
91,2011-01-04,Spring,2011,1,22,0,2,Working Day,Clear/Partly Cloudy,0.22,0.2576,0.64,0.0896,1,34,35,4,0.2,0.212122,0.590435,0.160296,108,1454,1562,Night
92,2011-01-04,Spring,2011,1,23,0,2,Working Day,Clear/Partly Cloudy,0.2,0.2273,0.69,0.0896,2,9,11,4,0.2,0.212122,0.590435,0.160296,108,1454,1562,Night
93,2011-01-05,Spring,2011,1,0,0,3,Working Day,Clear/Partly Cloudy,0.2,0.2576,0.64,0.0,0,6,6,5,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Night
94,2011-01-05,Spring,2011,1,1,0,3,Working Day,Clear/Partly Cloudy,0.16,0.197,0.74,0.0896,0,6,6,5,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Night
95,2011-01-05,Spring,2011,1,2,0,3,Working Day,Clear/Partly Cloudy,0.16,0.197,0.74,0.0896,0,2,2,5,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Night
96,2011-01-05,Spring,2011,1,4,0,3,Working Day,Clear/Partly Cloudy,0.24,0.2273,0.48,0.2239,0,2,2,5,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Night
97,2011-01-05,Spring,2011,1,5,0,3,Working Day,Clear/Partly Cloudy,0.22,0.2273,0.47,0.1642,0,3,3,5,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Morning
98,2011-01-05,Spring,2011,1,6,0,3,Working Day,Clear/Partly Cloudy,0.2,0.197,0.47,0.2239,0,33,33,5,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Morning
99,2011-01-05,Spring,2011,1,7,0,3,Working Day,Clear/Partly Cloudy,0.18,0.1818,0.43,0.194,1,87,88,5,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Morning
100,2011-01-05,Spring,2011,1,8,0,3,Working Day,Clear/Partly Cloudy,0.2,0.1818,0.4,0.2985,3,192,195,5,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Morning
101,2011-01-05,Spring,2011,1,9,0,3,Working Day,Clear/Partly Cloudy,0.22,0.197,0.37,0.3284,6,109,115,5,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Morning
102,2011-01-05,Spring,2011,1,10,0,3,Working Day,Clear/Partly Cloudy,0.22,0.197,0.37,0.3284,4,53,57,5,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Morning
103,2011-01-05,Spring,2011,1,11,0,3,Working Day,Clear/Partly Cloudy,0.26,0.2273,0.33,0.3284,12,34,46,5,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Morning
104,2011-01-05,Spring,2011,1,12,0,3,Working Day,Clear/Partly Cloudy,0.26,0.2273,0.33,0.3284,5,74,79,5,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Afternoon
105,2011-01-05,Spring,2011,1,13,0,3,Working Day,Clear/Partly Cloudy,0.28,0.2576,0.3,0.2985,6,65,71,5,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Afternoon
106,2011-01-05,Spring,2011,1,14,0,3,Working Day,Clear/Partly Cloudy,0.3,0.2879,0.28,0.194,10,52,62,5,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Afternoon
107,2011-01-05,Spring,2011,1,15,0,3,Working Day,Clear/Partly Cloudy,0.3,0.2879,0.28,0.194,7,55,62,5,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Afternoon
108,2011-01-05,Spring,2011,1,16,0,3,Working Day,Clear/Partly Cloudy,0.3,0.3182,0.28,0.0896,4,85,89,5,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Afternoon
109,2011-01-05,Spring,2011,1,17,0,3,Working Day,Clear/Partly Cloudy,0.24,0.2273,0.38,0.194,4,186,190,5,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Evening
110,2011-01-05,Spring,2011,1,18,0,3,Working Day,Clear/Partly Cloudy,0.24,0.2424,0.38,0.1343,3,166,169,5,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Evening
111,2011-01-05,Spring,2011,1,19,0,3,Working Day,Clear/Partly Cloudy,0.24,0.2576,0.38,0.1045,5,127,132,5,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Evening
112,2011-01-05,Spring,2011,1,20,0,3,Working Day,Clear/Partly Cloudy,0.22,0.2273,0.47,0.1642,7,82,89,5,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Evening
113,2011-01-05,Spring,2011,1,21,0,3,Working Day,Clear/Partly Cloudy,0.2,0.197,0.51,0.194,3,40,43,5,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Night
114,2011-01-05,Spring,2011,1,22,0,3,Working Day,Clear/Partly Cloudy,0.18,0.197,0.55,0.1343,1,41,42,5,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Night
115,2011-01-05,Spring,2011,1,23,0,3,Working Day,Clear/Partly Cloudy,0.2,0.2576,0.47,0.0,1,18,19,5,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Night
116,2011-01-06,Spring,2011,1,0,0,4,Working Day,Clear/Partly Cloudy,0.18,0.2424,0.55,0.0,0,11,11,6,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Night
117,2011-01-06,Spring,2011,1,1,0,4,Working Day,Clear/Partly Cloudy,0.16,0.2273,0.64,0.0,0,4,4,6,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Night
118,2011-01-06,Spring,2011,1,2,0,4,Working Day,Clear/Partly Cloudy,0.16,0.2273,0.64,0.0,0,2,2,6,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Night
119,2011-01-06,Spring,2011,1,4,0,4,Working Day,Misty/Cloudy,0.16,0.197,0.64,0.0896,0,1,1,6,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Night
120,2011-01-06,Spring,2011,1,5,0,4,Working Day,Misty/Cloudy,0.14,0.1818,0.69,0.0896,0,4,4,6,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Morning
121,2011-01-06,Spring,2011,1,6,0,4,Working Day,Misty/Cloudy,0.14,0.1667,0.63,0.1045,0,36,36,6,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Morning
122,2011-01-06,Spring,2011,1,7,0,4,Working Day,Misty/Cloudy,0.16,0.2273,0.59,0.0,0,95,95,6,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Morning
123,2011-01-06,Spring,2011,1,8,0,4,Working Day,Clear/Partly Cloudy,0.16,0.2273,0.59,0.0,3,216,219,6,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Morning
124,2011-01-06,Spring,2011,1,9,0,4,Working Day,Misty/Cloudy,0.18,0.2424,0.51,0.0,6,116,122,6,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Morning
125,2011-01-06,Spring,2011,1,10,0,4,Working Day,Clear/Partly Cloudy,0.2,0.2576,0.47,0.0,3,42,45,6,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Morning
126,2011-01-06,Spring,2011,1,11,0,4,Working Day,Clear/Partly Cloudy,0.22,0.2576,0.44,0.0896,2,57,59,6,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Morning
127,2011-01-06,Spring,2011,1,12,0,4,Working Day,Clear/Partly Cloudy,0.26,0.2879,0.35,0.0,6,78,84,6,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Afternoon
128,2011-01-06,Spring,2011,1,13,0,4,Working Day,Clear/Partly Cloudy,0.26,0.2727,0.35,0.1045,12,55,67,6,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Afternoon
129,2011-01-06,Spring,2011,1,14,0,4,Working Day,Clear/Partly Cloudy,0.28,0.2727,0.36,0.1642,11,59,70,6,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Afternoon
130,2011-01-06,Spring,2011,1,15,0,4,Working Day,Clear/Partly Cloudy,0.28,0.2727,0.36,0.0,8,54,62,6,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Afternoon
131,2011-01-06,Spring,2011,1,16,0,4,Working Day,Clear/Partly Cloudy,0.26,0.2576,0.38,0.1642,12,74,86,6,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Afternoon
132,2011-01-06,Spring,2011,1,17,0,4,Working Day,Clear/Partly Cloudy,0.22,0.2273,0.51,0.1642,9,163,172,6,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Evening
133,2011-01-06,Spring,2011,1,18,0,4,Working Day,Clear/Partly Cloudy,0.22,0.2273,0.51,0.1343,5,158,163,6,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Evening
134,2011-01-06,Spring,2011,1,19,0,4,Working Day,Clear/Partly Cloudy,0.22,0.2576,0.55,0.0896,3,109,112,6,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Evening
135,2011-01-06,Spring,2011,1,20,0,4,Working Day,Clear/Partly Cloudy,0.2,0.2121,0.51,0.1642,3,66,69,6,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Evening
136,2011-01-06,Spring,2011,1,21,0,4,Working Day,Misty/Cloudy,0.22,0.2121,0.55,0.2239,0,48,48,6,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Night
